Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot72,"I",easy,25,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","15:14:07","15:14:07",
Bot72,"I",easy,25,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","15:14:12","15:18:18",
Bot73,"IcedCoke",easy,45,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","15:14:08","15:14:29",
Bot74,"Stepan_Ak_Dog",easy,15,Failed,"Scout","Zone place_pacemaker_SCOUT_01","1","15:14:09","15:14:26",
Bot75,"Black_Cardinal",easy,4,Active,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","15:14:11","N/A",
Bot86,"thisguy1256",easy,5,Active,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","15:17:46","N/A",
