Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Jared_FogleTTV",easy,13,Failed,"BP Depot","Zone fuel2","1","00:31:41","00:33:48",
Bot3,"PhatPhook",easy,21,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:31:42","00:33:23",
Bot1,"TarkyBro",easy,11,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:31:42","00:33:04",
Bot4,"Bunny",normal,32,Failed,"Farming - Part 3","Zone place_SADOVOD_03","1","00:31:42","00:34:39",
Bot5,"ClumsyJerk",normal,39,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","00:31:42","00:32:22",
Bot11,"Birr",normal,4,Failed,"Big Red","Big Red: Objective #2","1","00:31:43","00:36:29",
Bot12,"funq_ttv",normal,19,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:31:43","00:36:41",
