Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot62,"NightmaresEdGe",normal,6,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","18:53:10","N/A",
Bot61,"CMSwontFixThis",normal,24,Pending,"Informed Means Armed","Zone place_skier_11_2","1","18:53:10","N/A",
Bot63,"DeepDickPizza",normal,6,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","18:53:10","N/A",
Bot64,"RoflanOperator",hard,27,Active,"Spawn Rush","Spawn Rush: Objective #1","1","18:53:10","N/A",
Bot66,"ToxicTribe",hard,30,Pending,"Boss Hunter","Spawn Point (5.8 1.2 -103.4)","1","18:53:11","N/A",
Bot60,"seven-clock",normal,21,Active,"Golden Swag","Zone extraction_zone_zibbo","1","18:53:11","N/A",
Bot65,"Hooks",hard,13,Active,"Golden Swag","Zone extraction_zone_zibbo","1","18:53:11","N/A",
