Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot101,"ShawnTT",hard,22,Pending,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","16:29:17","N/A",
Bot100,"wuxingKILLA",hard,18,Active,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:29:17","N/A",
Bot102,"ShawnTT",hard,32,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","16:29:17","N/A",
Bot103,"GeneralHighPing",hard,18,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:29:17","N/A",
Bot104,"IM_SO_SORRY",hard,14,Failed,"Engineer's Office","Engineer's Office: Objective #1","1","16:29:17","16:29:18",
Bot104,"IM_SO_SORRY",hard,14,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","16:29:23","N/A",
