Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot88,"ChaplinI",normal,5,Active,"Sanitary Standards - Part 1","Zone pumproom","1","16:21:13","N/A",
Bot89,"ISukBigPipe",hard,24,Active,"Scout","Zone place_pacemaker_SCOUT_04","1","16:21:14","N/A",
Bot90,"RobinhoodTTV",hard,40,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","16:21:15","16:22:12",
Bot91,"waffle.lord",normal,13,Active,"Spawn Rush","Spawn Rush: Objective #1","1","16:21:16","N/A",
Bot93,"Smiche",normal,24,Pending,"Chemical - Part 3","Item Syringe with a chemical","1","16:21:18","N/A",
Bot94,"MrFishVAC",normal,1,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","16:21:22","16:21:24",
