Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot111,"Brehze",easy,21,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","16:39:54","16:40:11",
Bot112,"MaTum_BaMaN",easy,15,Failed,"Postman Pat - Part 1","Item Sealed letter","1","16:39:55","16:40:36",
Bot113,"HellaBusty",normal,12,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","16:39:56","16:42:59",
Bot115,"iGotChu",easy,18,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","16:39:58","16:39:59",
Bot115,"iGotChu",easy,18,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","16:40:04","16:40:48",
Bot115,"iGotChu",easy,18,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","16:40:13","16:40:48",
Bot116,"Nifty",easy,11,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","16:39:59","16:42:36",
Bot127,"Spexial-skr8",easy,16,Failed,"Scout","Zone place_pacemaker_SCOUT_01","1","16:43:15","16:44:08",
