Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Duxiaopang",easy,13,Completed,"Search Mission","Zone pr_scout_col","1","14:01:11","14:04:39",
Bot36,"Duxiaopang",easy,13,Completed,"Search Mission","Zone pr_scout_base","1","14:04:44","14:05:49",
Bot36,"Duxiaopang",easy,13,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","14:05:54","14:06:57",
Bot36,"Duxiaopang",easy,13,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","14:07:02","14:07:15",
Bot36,"Duxiaopang",easy,13,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","14:07:20","14:08:09",
Bot36,"Duxiaopang",easy,13,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","14:08:14","14:09:09",
Bot36,"Duxiaopang",easy,13,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","14:09:14","14:10:15",
Bot36,"Duxiaopang",easy,13,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","14:10:20","14:10:45",
Bot36,"Duxiaopang",easy,13,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","14:10:50","14:14:34",
Bot36,"Duxiaopang",easy,13,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","14:14:39","14:14:59",
Bot36,"Duxiaopang",easy,13,Active,"Supply Plans","Item Secure Folder 0052","1","14:15:04","N/A",
Bot41,"Summit1gTTV",normal,3,Completed,"Scav Base","Scav Base: Objective #4","2","14:01:11","14:08:58",
Bot41,"Summit1gTTV",normal,3,Failed,"Scav Base","Scav Base: Objective #1","4","14:09:03","14:11:01",
Bot41,"Summit1gTTV",normal,3,Completed,"Scav Base","Scav Base: Objective #3","1","14:11:06","14:11:26",
Bot41,"Summit1gTTV",normal,3,Completed,"Scav Base","Scav Base: Objective #2","4","14:11:31","14:12:20",
Bot41,"Summit1gTTV",normal,3,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","14:12:25","14:14:13",
Bot41,"Summit1gTTV",normal,3,Active,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","14:14:19","N/A",
Bot38,"ADHDandy",hard,20,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","14:01:11","14:01:30",
Bot38,"ADHDandy",hard,20,Completed,"Steady Signal","Zone q14_8_5","1","14:01:35","14:04:05",
Bot38,"ADHDandy",hard,20,Completed,"Steady Signal","Zone q14_8_2","1","14:04:11","14:07:19",
Bot38,"ADHDandy",hard,20,Completed,"Steady Signal","Zone q14_8_3","1","14:07:24","14:12:02",
Bot38,"ADHDandy",hard,20,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","14:12:07","14:13:18",
Bot38,"ADHDandy",hard,20,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","14:13:23","14:13:46",
Bot38,"ADHDandy",hard,20,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","14:13:51","14:14:17",
Bot38,"ADHDandy",hard,20,Active,"Steady Signal","Zone q14_8_4","1","14:14:22","N/A",
Bot37,"Matrix",easy,11,Pending,"Spine","Spine: Objective #1","1","14:01:11","N/A",
Bot39,"Sodapoppin_TTV",hard,17,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","14:01:11","N/A",
Bot40,"Shisui--Uchiha",normal,39,Completed,"Scav Base","Scav Base: Objective #4","2","14:01:11","14:02:04",
Bot40,"Shisui--Uchiha",normal,39,Failed,"Scav Base","Scav Base: Objective #1","4","14:02:09","14:03:30",
Bot40,"Shisui--Uchiha",normal,39,Completed,"Scav Base","Scav Base: Objective #3","1","14:03:35","14:03:45",
Bot40,"Shisui--Uchiha",normal,39,Pending,"Scav Base","Scav Base: Objective #2","1","14:03:50","N/A",
Bot44,"Tarik",easy,22,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","14:01:12","14:10:06",
Bot44,"Tarik",easy,22,Active,"Gratitude","Zone place_THX_15","2","14:10:11","N/A",
Bot43,"yong_pablo",easy,23,Failed,"Supply Plans","Item Secure Folder 0052","1","14:01:12","14:04:23",
Bot64,"Pestily",hard,11,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","14:07:12","14:07:21",
Bot64,"Pestily",hard,11,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","14:07:26","14:09:00",
Bot68,"iFakyourFace",easy,23,Active,"Sawmill Cabins","Sawmill Cabins: Objective #2","1","14:09:45","N/A",
