Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"BigWillyMan",hard,21,Failed,"Boss Hunter","Spawn Point (-311.9 1.0 -125.0)","1","18:35:16","18:38:13",
Bot2,"PashaBiceps",hard,15,Failed,"Boss Hunter","Spawn Point (-311.9 1.0 -125.0)","1","18:35:16","18:39:08",
Bot3,"Nwashi",easy,14,Active,"Big Red Rush","Big Red Rush: Objective #1","1","18:35:16","N/A",
Bot4,"IIII0I0II0I0III",easy,13,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","18:35:16","N/A",
Bot13,"gaylatea",normal,11,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","18:35:18","18:38:54",
Bot12,"SatansAssCrack",normal,4,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","18:35:18","18:35:31",
Bot12,"SatansAssCrack",normal,4,Active,"Crackhouse","Crackhouse: Objective #7","1","18:35:36","N/A",
